label,image,row_1,row_2,row_3,row_4,card_owner,item-count,item-key
Meanest,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Who is the meanest in here? They take 5.,,,Modnar,0,type-3479b472-a859-41c7-8f04-9d0cf2139cfe
Nicest,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Who is the nicest person? They take 10.,,,Modnar,0,type-b65d7d4f-ef1b-45ca-a100-3ded47493303
7,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,Take 10 shots if you screen cheated  Goldeneye 007 on the N64.,,,,Modnar,1,type-9cf47c9a-d576-4048-9e6e-df96f7bb807b
Asked a question (after you),https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,The person after you can ask you any question or drink 5 shots.,,,Modnar,0,type-66257f36-94be-41b1-8b7d-e49e1ce93653
Asked a question (before you),https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,The person before you can ask you any question or drink 5 shots.,,,,Modnar,0,type-e76dc5c6-e814-4cad-8998-8b8ad17c0ce2
Imitate,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Imitate another person. First one to guess picks someone to drink 10.,,,Modnar,1,type-84416d3e-9b58-4a29-8d2e-a6ca9155eb59
Name a color,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Starting with you, take turns naming a different color. The person that repeats a color drinks.",,,,Modnar,0,type-9f48c49c-976d-4cb5-820c-5580c6633165
Indecisive,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,Everyone votes on who is the most indecisive. That person picks someone to drink.,,,,Modnar,0,type-18286fb6-8244-4349-bb23-7e3523191722
Biggest Alcoholic,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,Everyone votes on who is the biggest alcoholic. That person drinks.,,,,Modnar,0,type-f025eb17-6f7f-42ef-a633-c52a6410f2f6
Dodge this,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,Everyone votes on who is the most likely to dodge drinks. That person drinks.,,,,Modnar,0,type-a80d44a9-750f-4711-a8b5-c6aff00192e7
Single,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,Everyone who's single drinks 5,,Modnar,1,type-2c195118-e22f-4c7c-95ce-8257f62d5944
Relation,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,Everyone who's in a relationship drinks 5,,Modnar,1,type-a77fb58e-b745-486f-a31a-c7e9ff8076ff
Loser,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,,You drink 5,Modnar,1,type-e816850a-4e2e-40f0-80ad-edbf32ebbaf3
Lucky,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,Everyone but you drinks 5,,Modnar,1,type-a0676577-bd36-43a3-ad14-7fcd197b2231
Waterfall,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,You decide when you and everyone stops drinking,,Modnar,1,type-3e773b66-975d-4af2-904f-4d0fd7186c8c
Buddy,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,Pick a buddy and drink 5 with them,,Modnar,1,type-2c2b0e05-3329-4f97-85a0-98eaa6733ba4
Host,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,Host has to drink 5,,Modnar,1,type-5b3b266d-5c98-48ce-9d3a-de622f119830
Boom,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,"BOOM! IED took your legs, finish half your drink!",,Modnar,1,type-50a243a6-ec86-4abb-81bc-bb25ebd3e244
Chemical Attack,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,Chemical Attack! Take a big gulp of your drink.,,Modnar,0,type-1ca24e05-e149-4b30-94cc-8ee0077f9212
Reload,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,Reload! Finish your drink and take one more shot!,,Modnar,1,type-55e0be6c-6270-421d-b508-890c2651eead
Machine gun,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,Machine gun give 30 shots!,,Modnar,1,type-13d64a94-8474-4a2b-9904-91fd6cf06aff
Air Strike,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,Air Strike haha you're family got blown up. Drink for every member in your immediate family.,,,,Modnar,1,type-562bbef6-b4f4-421c-80e4-03937150e441
Napalm,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Napalm Strike if you have something spicy, take a sip of it and take 5 shots to wash it down! If not, take 15.",,,,Modnar,1,type-eefcfbe1-b96b-4bbe-a78c-a5fa115060f2
Amphibious assault,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Amphibious assault...Make someone take a water shot.,,,Modnar,1,type-4d5fa73d-be6b-496f-9d81-47a1c0f6c810
Compound Raid,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Compound Raid Shoot 3 players with 5 shots each!,,,Modnar,1,type-f839f640-ef46-46f3-84e5-46361cc3463d
FRAG OUT!,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,FRAG OUT! Blow up two players with 10 shots each!,,,Modnar,1,type-695a78c1-6ce9-468e-8c93-9d84c7751645
Execution!,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,Execution! Give 25 shots to one player!,,Modnar,1,type-fdd08953-0114-423c-be1f-c47ad1f7682e
Political Assassination,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Political Assassination.  One Straight shot to one player!,,,Modnar,1,type-0aff0ece-2809-472c-9d70-a63329448100
Kamikaze!,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Kamikaze!  You take 10 shots and one other player you choose take 10!,,,Modnar,1,type-06cc86d4-94bf-4979-8976-199410a35a00
Land Mine,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,You ended up in a minefield!  Will you die?  Roll the dice!,,,Modnar,1,type-e51e430d-51cb-4ae5-b492-3700b32975ea
Tactical Nuke,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Tactical Nuke! Finish your drink you pile of ash.,,,Modnar,1,type-bfa9b1c2-42cb-4932-9e4b-b5d817037e57
Ur cute,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,Ur cute 😊,Get some water,Modnar,1,type-16e2469c-8525-428c-97ae-48672eca2a74
War Crime Time!,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,War Crime Time! Everyone is a winner and takes 15 shots!,,,Modnar,1,type-e3ec7268-780c-4a02-a32a-a1ba8d4bb656
Ethnic Cleansing,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Ethnic Cleansing. Target a group of people and make them take 20.,,,Modnar,1,type-126e7b1e-e41c-4390-b89b-2c43eed165bd
Question (give up alcohol),https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Who in here is most likely to give up alcohol? Remind them to take 10.,,,Modnar,0,type-5ed14c86-9591-4223-869c-a4718ce3c18e
Fortnite,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,OMG is that from Fortnite. STFU down your drink.,,,Modnar,1,type-f9d3ce2a-759a-459d-9f56-09387a61bdc8
Broke in,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,You broke into Modnar's house. You hear the rack of a shotgun. Take 12,,,Modnar,1,type-cbb0f29b-5406-4247-8ebf-344cbd8a7409
Guns,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,Take turns naming a different gun. The person who can’t think of a new one takes 20!,,,,Modnar,1,type-ff0eac74-45dd-457c-bc7c-851dcd737b17
Bayonet,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Modnar just bayonet charged the FUCK out of you. Take 10!,,,Modnar,1,type-5ff9f145-d9a5-4205-81ef-34467aaa4f30
Claymore,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,,Oh shit! claymo- Take 18!,Modnar,1,type-13815238-5eec-4f6b-8d3f-2f183597bb5a
Ammooooo,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Praise the Lord and pass the ammunition! Give 10 shots!,,,Modnar,1,type-8af0ade4-c56c-4b44-85c3-bdf52fde13ce
Booby,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,You just tripped a booby trap! Take 10.,,Modnar,1,type-fe99715e-13b4-4720-a373-f2d7074ef854
Grave,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,You just found a mass grave site in Syria. Take 20!,,,Modnar,1,type-cf4ff8f0-b5d1-4b0e-a9ad-ba021824507b
Roulette,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,You are being forced to play Russian Roulette by Modnar. Roll the dice.,,,Modnar,1,type-69762bca-acd2-4102-a8b1-7bcacb89a879
DOOM,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,The DOOM music just kicked in and everyone takes 15!,,,Modnar,1,type-55704cec-74c9-4e87-a8b7-2c6a753d0b11
AA,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,A civilian plane is in radius of your AA! Give 30 shots!,,,Modnar,1,type-1246b2d6-6b9f-4023-9ea5-39127bad729a
Victim,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,You are the victim of close air support! Take 20!,,,Modnar,1,type-9b72de67-7dae-4752-a6ff-f1aa85e4ed1f
Fight,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Battle Buddies fight together.  You and a friend take 10!,,,Modnar,1,type-0fe0967d-917b-4c45-b479-f25a20b97a11
W9,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,You are the victim of a W9 experiment.  Roll the die!,,,Modnar,1,type-ee48a580-9051-4d40-8e4e-dfba6794ab90
Bomb,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,You bomb a innocent village for clout!  Give 15!,,Modnar,1,type-71378347-2bc9-4bf6-8137-ee8c4dfc59fb
Hostage,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,You take hostages for ransom.  Give or take 15 to set them free or kill their dumbasses!,,,,Modnar,1,type-6b711562-0421-45a1-911a-473271f9d7b5
Gift,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,War crimes is the gift of giving! Give 30!,,Modnar,1,type-751b489f-499f-4254-b87b-a1d637f81415
Squad,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,You found a squad mate. For the rest of the game your pucks are shared.,,,,Modnar,1,type-15b69285-0149-4148-9ff4-ecd24b79c1d9
Quick scoped,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,You got quick scoped IRL somehow. Wow take 5,,,Modnar,1,type-9fd0c75f-47e9-4400-9b02-1b5a364b1b7b
Wounded,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,You've been wounded!  Take 10 to make the pain go away.,,,Modnar,1,type-e920126f-f79e-44cc-b573-195b7f0a13d6
Drone,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,A drone just dropped a grenade on your position! You and 2 others take 10.,,,,Modnar,1,type-7ff065f8-8084-4c6e-9d37-c142afedf796
Tank,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,Tank support has arrived! Give 3 big gulps!,,Modnar,1,type-c7fe10bc-13c7-43f6-bddd-ff07c33ed52f
Friendly,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,There is nothing friendly about friendly fire.  Give 20.,,,Modnar,1,type-40f70f7d-5a1f-4449-beaf-2962619575a4
BIIIIIIIIIIIIIITCH,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,Modnar just hit you up on long range radio.  He says take 20... BIIIIIIIIIIIIIITCH,,,,Modnar,1,type-0997441c-bfb1-4d80-a695-be79b39c3511
Lost your rifle,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,You lost your rifle.  Everyone drinks except you.,,Modnar,1,type-c067ece3-7351-44bb-922e-053ebe11a056
Waterboarding,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Waterboarding isn't fun for the victim.  Take a water shot.,,,Modnar,1,type-e11f0144-6ee7-4eed-a109-a232345df3f9
Biological Agent,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,A Biological Agent has entered your system!  Alcohol is the cure! Take 5!,,,,Modnar,1,type-c7b8338f-6375-4c9e-9aaa-0d4bb1375358
Flying Chair,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,Modnar just threw a chair for the funny. Take 10.,,Modnar,1,type-ada47ba5-31af-42c4-a72c-f6701118b4ad
Set a bomb,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"Modnar finally snapped and set off a bomb in your countries capital, finish your drink",,,,Modnar,1,type-0db90f5d-395b-4e4f-90e2-2b0da65bcefc
Slapped,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"YOU MOTHERFUCKER, you tried to take Mod's guns away and got slapped like a bitch, take 30",,,,Modnar,1,type-ec987bbe-a533-4d5d-adf6-63528e7ceae7
Roll b-tch,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"If there was a time to be scared, it is when Mod gives you a dirty pint.  Roll Bitch.",,,,Modnar,1,type-63626099-33c8-47c8-be7f-f464b275ec77
Foot,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,"Your foot got caught under the tank treads, take 10",,,Modnar,1,type-3ccb0bb0-5a09-4e11-af69-2b076509768a
IED,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,"You just planted an IED to fuck up someone's day, give 30",,,Modnar,1,type-196b501a-e1be-4c8b-bea7-2f60e0940a9b
Rhymes,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,"Modnar rhymes with Godnar, take 10",,Modnar,1,type-0e41c804-d901-48e3-8e0f-f2eb4f18ec7c
Council,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,"The Council of Alcoholics decides your fate, they give 20",,,Modnar,1,type-a2ae5646-a7f4-4c7a-a496-756b0ad05baa
