row_1,label,image,row_2,row_3,item-count,item-key
,E-creatures,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,All E-creatures present take 10 shots.,1,type-0e185584-9352-4b65-b745-a193d1aeb641
,All women,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"All women present take 10, that includes female models.",,1,type-7e308553-ba2e-4be2-a036-94e549cddaf3
,All men,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"All men give 20 shots, only male avatars and ACTUAL MEN.",,1,type-eaed2182-4a35-4be7-86e8-1e3936628b99
,Council of alcoholics have decided,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"The council of alcoholics have decided you’re too sober, take 20. ",,1,type-cedd0694-454b-4278-a793-fbd47c3bcae2
,Caught simpin,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,"You’ve been caught simpin, finish your drink. ",1,type-644a50ef-678f-4020-a916-af429e003259
,Spliff shall decide,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,Spliff shall decide your fate. If no spliff host decides. ,,1,type-76dc55a7-93c7-4ed0-903a-67d87701f7bd
,Blessed,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,"The devils have blessed you with a pass, give 20.",1,type-c4790875-8abd-4683-951f-c47a84426287
,Complaint,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"You created a complaint ticket about spliff in S&T, take 20.",,1,type-400ba601-9b22-4fa5-8f66-53f22f9bd1bd
,Heaviest drinker,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"Everyone votes on the heaviest drinker, they can give and take 20.",,1,type-902ae4fb-148a-4b83-a9b0-086dfa727b06
,Biggest Pussy,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Everyone votes on the biggest pussy, they can give 20.",,1,type-215cacc8-f1da-4805-8009-41cb0b1aa822
,Jehovah witness,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"You slammed a door on a Jehovah witness, give 20.",,1,type-845ec639-74d7-4f51-ba6f-ad8a4c413fcb
,Alcoholic Jesus,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Alcoholic Jesus has blessed you, give 20 in his honour. ",,1,type-a44ad19c-9f19-4e16-92b0-05aa39bb00f7
,Chapplebees,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"You have been blessed by the mimz, take a double chapplebees.",,1,type-aca2e8fe-8d24-4ce0-8b60-302ccbe3bfcc
,Ancestry,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Mimz has wiped out your entire ancestry.com tree, take 2 rolls. ",,1,type-aeff001e-f37e-4019-acb5-e18f7f8a7aea
,Bomb,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"A dirty AF bomb has being dropped on your house, take a dirty pint. ",,1,type-ecd4bc70-316f-4ed3-9445-b22f01b43d27
,Defeated Karen,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,"You have defeated a Karen, give a dirty pint. ",1,type-039950c6-3f11-4439-a518-b65ab30ca2e6
It’s TT and spliff is unleashed. Everyone fills your own drinks and then finishes them. ,Unleashed,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,1,type-34ac5a64-e5d4-4b99-b951-078339e2cabc
You are a duck and you have swam to the bottom. Drink your way up (finish your drinks).,Duck,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,1,type-2b465153-a7e9-4a4f-b912-ea64c10d57dd
,Toast,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,Recite the TT toast off by heart or finish your drink.,,1,type-4e853d36-c58f-4677-b504-792f181c115c
"Answer the question to Life, the Universe, and Everything. If you are wrong or right, give or take the answer",Answer the question to Life,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,0,type-41f7cf01-9117-4fe3-a5e6-b09435bda8d0
,Dwarf,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,Take 5 shots for every dwarf you can’t name in Thorin’s company (The hobbit).,,1,type-95df6e80-4343-4172-953d-3c7177713d3e
"Crispy lost a liver killer, everyone must take 20 as compensation. (wheres my liver killer)",Where's my liver killer,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,1,type-9d7dba2e-fda8-4102-ba38-ca0d99a65650
,Upset,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,"Crispy got upset at nothing yet again, take 20. ",1,type-5b7adce7-5ba5-4246-9979-1ba5ebe181a1
,Crab game,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,"Crab game suicide pact, everyone takes 20. ",1,type-0888b35d-709e-4fc2-9541-8413f10bf5f1
,Andrasta threw,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"Andrasta threw his toys out his pram again, put them back for him and give 20.",,1,type-c99e66a7-d8c3-471c-8252-4224cd101005
"Spell the name of god (Indiana jones the last crusade), If your can't do it take 20 shots.",Name of God,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,1,type-38d9b46c-65bb-4b0d-a935-c86aaeb7dd47
