text1,label,image,text2,text3,text4,item-count,item-key
,Give 5,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,Give 5,2,type-efd438c4-c984-490f-be13-a6006e30d5b9
,Take 10,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,Take 10,2,type-be5c34fe-9a51-4c1c-96e2-e322e6fb4d0d
,Give 10,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,Give 10,2,type-502e2cbb-ceb5-4d07-aa91-d91cfdfe4cd9
,Give 15,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,Give 15,2,type-8d814cfe-c12b-4237-aac9-2c17f68d0f46
,Take 15,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,Take 15,2,type-a955a6d0-f90a-4e96-85bc-3f59d694fa50
,Give 20,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,Give 20,3,type-7cc68a0e-b9d8-4069-b580-8ce8cd30cc59
,Take 20,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,Take 20,3,type-bcfdc3ea-fcfb-430a-b706-cba81bfa87b9
,Rude,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,You opened a birthday present?! take 10 shots,,1,type-ed087260-651c-49a1-bbb9-4bdedcf75707
,Congrats,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,"Congrats, you gave a proper present give 15 shots",,1,type-b12e3324-8a9b-4650-b9c4-da6c13e9b933
,Age,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"How old did the bday person get, take that amount of shots",,,1,type-eae815a4-2135-4393-b512-387015a72b5d
Birthday wish came true. Deal your shots birthday person. Each person has to take 5,Wish,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,,1,type-4175d739-5df4-4b94-aefb-56af6754f2d9
,Bet,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Oh no, you lost a bet and now you have to drink a dirty pint",,,2,type-b4239bdc-96bb-43ea-bdbd-a91be9fc9db4
,Buddy,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Pick a buddy and drink with them,,1,type-dd9f90f7-58d5-4847-bbe9-de14eb6df88d
,Complained,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,"Neighbours complained about the music, take 5 shots.",,,1,type-d63b064f-12ca-4e4d-8784-110fad44ff12
,Happy Birthday,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"Did you say happy birthday to the bday person? Yes give 5, No take 5",,,1,type-500f9744-cae4-4745-bec3-8e9f08517efc
,Late,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,You arrived late on the birthday party. Catch up and take 20,,,1,type-b4ce5510-7c44-4c3c-af4c-c68855eb0198
,Older,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,Everyone older than the bday person drink,,1,type-9fc04f7d-5067-42ef-9987-6624a3572710
,Younger,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,Everyone younger than the bday person drink,,1,type-56bf4dbe-2c87-49fd-b669-f27ca016cf7d
Everyone takes the amount of shots the bday person has been congratulated today.,Congratulations,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,,1,type-d6b88e20-075d-4391-9a14-6b432f28725a
"Listen, I'm not an alcoholic, alcoholics go to meetings. I'm a drunk, we go to parties. Cheers everyone take 5.",Alcoholic?,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,,,1,type-7ccd66a8-712d-45d6-b4b7-7348dce50923
,Cup?,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,You lost your cup? Shame on you. Take 5 shots.,,1,type-4c0ba41e-31f5-4e7e-a051-9bd77f837b30
,Belly,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,Better belly burst than good liquor be lost. Take 10 shots,,,1,type-f0ddc7de-c789-425f-b486-6cd9bbe3acd7
,Meeting,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,A party without alcohol is just a meeting. Give 10 shots.,,,1,type-8038fc72-1ca7-49b7-bb87-2cf4c0221a2b
,Crossfit,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,,"You say alcoholism, I say liver crossfit. Take 15 shots.",,1,type-91f54a4b-64f9-4e38-9dc4-3412c352dbdc
,Problem,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"I don’t have a drinking problem, I have thirst problem. Take 25 shots.",,,1,type-7c1cdc3d-3357-4fda-991a-71cde5e25c08
,Forget,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,DRINK TO FORGET BUT NEVER FORGET TO DRINK! TAKE 5 SHOTS,,,1,type-b87de885-0b62-48c9-bbdf-48a00ba64ae4
"Good friends make the world go round, but good drink makes the room go round. Share 20 shots over 4 people.",Share,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,,,,1,type-9566d2e3-c359-4e29-af77-d15e86fb4aaf
,Ice,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,A drink with ice? You know what roll the dice twice to be extra nice.,,,1,type-d943de1b-55d3-466d-84e7-82d58d2234a7
,First,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/08e97934-3bb0-4690-bc29-bcef0dce2525.png?alt=media&token=5ce280b9-424e-4390-bccb-7a645bc9e886,"You're the first one at the party, give two rolls of the dice to someone. ",,,1,type-4ff25c54-599e-437a-97c0-800e685ec02e
,Bad pun,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/69c4e728-580f-448d-995a-e736c6b3f25e.png?alt=media&token=994cd4be-42be-490c-b524-f9f63ab6a836,You made a bad pun roll the dice whatever it lands on x3 (except the dp of course),,,2,type-5cc07890-8f53-4ad3-a677-3994d67f1f6e
